Respondent ID,Collector_ID,Start_Date,End_Date,IP_Address,Age,Gender,Nationality,uni_student,climate_change_course,climate_change_course2,Vegetarian,vegetarian_2,meat_frequency,meat_frequency2,family_veg,reason_no_meat,less_meat,reduced_carbon_footprint,cycling,monitor_footprint,reduce_flying,renewable_utilities,no_fossil_fuel,single_use_packaging,food_waste,source_own_food,additional,encouraged_others
12134397733,395745032,11/03/2020 15:28,11/03/2020 15:30,188.213.136.239,45+,Female,Europe,No,No,0,Yes,1,A few times a month,0.15,No,Environmental/Climate Change,Yes,Yes,Switched to cycling over driving/public transport,,Reduced your flying (intentionally rather than due to Covid),Switched to renewable energy for home heating,Divested from fossil fuel investments,Reduced your single use packaging,Reduced your food waste,Grown/caught your own food,Not listed,Yes
12134376932,395745032,11/03/2020 15:23,11/03/2020 15:24,86.31.76.160,26-30,Female,Europe,No,No,0,Yes,1,4-6 days a week,0.8,No,None of the above,No,Yes,,,,,,Reduced your single use packaging,Reduced your food waste,Grown/caught your own food,,No
12134341227,395745032,11/03/2020 15:13,11/03/2020 15:14,2.220.96.191,26-30,Male,Europe,No,No,0,Yes,1,7 days a week,1,No,Not applicable,No,No,,,,,,,Reduced your food waste,,,No
12134250848,395745032,11/03/2020 14:47,11/03/2020 14:49,73.47.58.182,41-45,Male,North America,No,No,0,Yes,1,4-6 days a week,0.8,No,Environmental/Climate Change,Yes,Yes,Switched to cycling over driving/public transport,,,,,Reduced your single use packaging,,,,Yes
12134131419,395745032,11/03/2020 14:10,11/03/2020 14:14,62.197.243.161,45+,Male,Europe,No,No,0,No,0,1-3 days a week,0.4,No,Not applicable,No,Yes,,,,,,Reduced your single use packaging,Reduced your food waste,Grown/caught your own food,,No
12134080821,395745032,11/03/2020 13:58,11/03/2020 14:00,198.29.50.226,45+,Female,North America,No,No,0,Yes,1,4-6 days a week,0.8,No,Not applicable,No,No,,,,,,,,,Not listed,No
12133773555,395745032,11/03/2020 12:13,11/03/2020 12:15,93.115.192.132,41-45,Male,South America,No,No,0,Yes,1,4-6 days a week,0.8,No,Not applicable,No,Yes,,,,,,Reduced your single use packaging,,,,No
12133677141,395745032,11/03/2020 11:32,11/03/2020 11:33,51.140.187.4,45+,Male,North America,No,No,0,Yes,1,4-6 days a week,0.8,No,Not applicable,No,No,,,,,,Reduced your single use packaging,,,,No
12133631283,395745032,11/03/2020 11:10,11/03/2020 11:11,5.67.14.41,21-25,Male,Europe,Yes,No,0,Yes,1,4-6 days a week,0.8,No,Not applicable,No,No,,Monitored your carbon footprint,,,,Reduced your single use packaging,,,,Yes
12133610006,395745032,11/03/2020 10:59,11/03/2020 11:00,185.106.74.236,36-40,Female,Europe,No,No,0,Yes,1,A few times a month,0.15,No,Animal Welfare,Yes,Yes,,,,,,Reduced your single use packaging,,,,Yes
12133598054,395745032,11/03/2020 10:51,11/03/2020 10:54,185.106.74.236,21-25,Female,Europe,No,No,0,Yes,1,7 days a week,1,No,Not applicable,No,Yes,,,,,,Reduced your single use packaging,Reduced your food waste,,,Yes
12133588948,395745032,11/03/2020 10:47,11/03/2020 10:49,124.171.234.131,26-30,Female,Europe,No,No,0,Yes,1,1-3 days a week,0.4,No,Not applicable,Yes,Yes,,,,,,Reduced your single use packaging,Reduced your food waste,,,Yes
12133585289,395745032,11/03/2020 10:44,11/03/2020 10:47,94.3.59.133,21-25,Female,Europe,No,No,0,Yes,1,4-6 days a week,0.8,No,Not applicable,Yes,Yes,,Monitored your carbon footprint,,,,Reduced your single use packaging,Reduced your food waste,,,No
12133560598,395745032,11/03/2020 10:32,11/03/2020 10:33,120.147.209.139,31-35,Male,Asia,No,No,0,Yes,1,4-6 days a week,0.8,Yes,Religion,No,No,,,,,,Reduced your single use packaging,Reduced your food waste,,,No
12133543771,395745032,11/03/2020 10:23,11/03/2020 10:24,82.132.220.63,21-25,Female,Europe,No,No,0,No,0,None,0,No,Environmental/Climate Change,Yes,Yes,,Monitored your carbon footprint,,Switched to renewable energy for home heating,,Reduced your single use packaging,Reduced your food waste,,Not listed,Yes
12133543394,395745032,11/03/2020 10:22,11/03/2020 10:24,154.59.134.86,21-25,Male,Europe,No,No,0,Yes,1,1-3 days a week,0.4,Yes,,No,Yes,,,Reduced your flying (intentionally rather than due to Covid),,,Reduced your single use packaging,,,,Yes
12133486995,395745032,11/03/2020 09:50,11/03/2020 09:51,213.127.24.178,45+,Male,North America,No,No,0,Yes,1,7 days a week,1,No,Not applicable,No,Yes,Switched to cycling over driving/public transport,,,,,Reduced your single use packaging,Reduced your food waste,,,No
12133468098,395745032,11/03/2020 09:39,11/03/2020 09:40,49.195.132.102,26-30,Male,Oceania,No,No,0,Yes,1,7 days a week,1,No,Not applicable,No,Yes,Switched to cycling over driving/public transport,,,,Divested from fossil fuel investments,Reduced your single use packaging,Reduced your food waste,,Not listed,No
12133423352,395745032,11/03/2020 09:12,11/03/2020 09:14,89.173.32.207,41-45,Male,Europe,No,No,0,Yes,1,1-3 days a week,0.4,No,None of the above,No,Yes,Switched to cycling over driving/public transport,,,,,,Reduced your food waste,,Not listed,No
12133417582,395745032,11/03/2020 09:09,11/03/2020 09:10,146.198.147.227,36-40,Male,Oceania,No,No,0,Yes,1,A few times a month,0.15,No,Environmental/Climate Change,Yes,Yes,,,,Switched to renewable energy for home heating,,Reduced your single use packaging,Reduced your food waste,,,Yes
12133407078,395745032,11/03/2020 09:02,11/03/2020 09:04,80.187.97.3,26-30,Female,Europe,No,No,0,Yes,1,A few times a month,0.15,No,Environmental/Climate Change,Yes,Yes,Switched to cycling over driving/public transport,,,Switched to renewable energy for home heating,,Reduced your single use packaging,Reduced your food waste,Grown/caught your own food,,Yes
12133399595,395745032,11/03/2020 08:57,11/03/2020 09:00,82.69.11.155,45+,Female,North America,No,No,0,Yes,1,1-3 days a week,0.4,No,Health,No,Yes,Switched to cycling over driving/public transport,,,Switched to renewable energy for home heating,,Reduced your single use packaging,,Grown/caught your own food,,No
12133391141,395745032,11/03/2020 08:52,11/03/2020 08:55,49.179.144.80,31-35,Male,Asia,No,No,0,Yes,1,1-3 days a week,0.4,No,Health,No,No,,,,,,,Reduced your food waste,,,No
12133389559,395745032,11/03/2020 08:53,11/03/2020 08:54,49.195.224.217,26-30,Female,North America,No,No,0,Yes,1,7 days a week,1,No,Not applicable,Yes,Yes,,,,,,Reduced your single use packaging,,Grown/caught your own food,,Yes
12133361791,395745032,11/03/2020 08:34,11/03/2020 08:36,148.252.132.231,45+,Male,Europe,No,No,0,Yes,1,4-6 days a week,0.8,No,Health,No,Yes,,,Reduced your flying (intentionally rather than due to Covid),,,Reduced your single use packaging,Reduced your food waste,,Not listed,No
12133344113,395745032,11/03/2020 08:23,11/03/2020 08:24,194.193.219.80,31-35,Female,Europe,No,No,0,Yes,1,4-6 days a week,0.8,No,Not applicable,No,No,,,,,,Reduced your single use packaging,,,,No
12133314251,395745032,11/03/2020 08:03,11/03/2020 08:05,94.7.174.222,31-35,Male,Europe,No,No,0,Yes,1,1-3 days a week,0.4,No,Environmental/Climate Change,Yes,Yes,,,,,,Reduced your single use packaging,Reduced your food waste,,,Yes
12133284196,395745032,11/03/2020 07:42,11/03/2020 07:43,77.97.62.117,41-45,Male,Europe,Yes,Yes,1,Yes,1,A few times a month,0.15,No,Animal Welfare,Yes,Yes,,,Reduced your flying (intentionally rather than due to Covid),Switched to renewable energy for home heating,,Reduced your single use packaging,Reduced your food waste,,Not listed,Yes
12133249899,395745032,11/03/2020 07:16,11/03/2020 07:17,85.211.169.52,45+,Male,North America,No,No,0,Yes,1,1-3 days a week,0.4,No,Animal Welfare,No,Yes,,,,Switched to renewable energy for home heating,,Reduced your single use packaging,,,,No
12133247063,395745032,11/03/2020 07:12,11/03/2020 07:15,203.160.80.152,31-35,Male,Asia,Yes,No,0,Yes,1,7 days a week,1,No,Health,No,No,,,,,,Reduced your single use packaging,,,,No
12133189377,395745032,11/03/2020 06:25,11/03/2020 06:28,94.229.33.195,31-35,Female,Europe,No,No,0,Yes,1,1-3 days a week,0.4,No,Health,Yes,Yes,Switched to cycling over driving/public transport,,,Switched to renewable energy for home heating,,Reduced your single use packaging,Reduced your food waste,Grown/caught your own food,,No
12133185638,395745032,11/03/2020 06:23,11/03/2020 06:25,78.141.98.190,31-35,Female,Europe,No,No,0,Yes,1,1-3 days a week,0.4,No,Taste/Texture,Yes,Yes,,,,,,,Reduced your food waste,Grown/caught your own food,,No
12133148848,395745032,11/03/2020 05:53,11/03/2020 05:54,101.161.95.110,31-35,Female,Oceania,No,No,0,Yes,1,4-6 days a week,0.8,No,Not applicable,No,No,,,,,,Reduced your single use packaging,Reduced your food waste,Grown/caught your own food,,No
12132955536,395745032,11/03/2020 03:26,11/03/2020 03:27,174.92.125.222,26-30,Female,North America,No,No,0,Yes,1,1-3 days a week,0.4,Yes,Environmental/Climate Change,Yes,Yes,,Monitored your carbon footprint,,,,Reduced your single use packaging,Reduced your food waste,Grown/caught your own food,Not listed,Yes
12132924514,395745032,11/03/2020 03:06,11/03/2020 03:08,107.140.18.95,45+,Female,North America,No,No,0,Yes,1,1-3 days a week,0.4,No,Not applicable,Yes,Yes,,Monitored your carbon footprint,Reduced your flying (intentionally rather than due to Covid),,Divested from fossil fuel investments,Reduced your single use packaging,Reduced your food waste,,,Yes
12132873189,395745032,11/03/2020 02:35,11/03/2020 02:37,45.36.178.70,45+,Male,North America,No,No,0,Yes,1,A few times a month,0.15,No,Health,No,No,,,,,,,,,Not listed,No
12132700055,395745032,11/03/2020 01:03,11/03/2020 01:05,100.35.163.239,41-45,Male,Europe,No,No,0,No,0,None,0,No,Health,Yes,Yes,,,,,,Reduced your single use packaging,Reduced your food waste,,,No
12132632864,395745032,11/03/2020 00:32,11/03/2020 00:34,174.107.132.139,45+,Male,North America,No,No,0,Yes,1,1-3 days a week,0.4,No,Cost,No,Yes,,,,,,Reduced your single use packaging,Reduced your food waste,,,No
12132478269,395745032,11/02/2020 23:28,11/02/2020 23:30,80.7.133.225,36-40,Female,Europe,No,No,0,Yes,1,1-3 days a week,0.4,No,Health,Yes,Yes,,,,,,Reduced your single use packaging,Reduced your food waste,,,No
12132466811,395745032,11/02/2020 23:24,11/02/2020 23:26,172.58.157.31,45+,Male,North America,No,No,0,Yes,1,1-3 days a week,0.4,Yes,Health,No,No,,,,,,,,,Not listed,No
12132442770,395745032,11/02/2020 23:16,11/02/2020 23:17,188.214.11.174,36-40,Male,Africa,No,No,0,Yes,1,4-6 days a week,0.8,No,Not applicable,No,Yes,Switched to cycling over driving/public transport,,,,,Reduced your single use packaging,,,,No
12132427645,395745032,11/02/2020 23:10,11/02/2020 23:11,81.128.186.140,45+,Male,Europe,No,No,0,Yes,1,1-3 days a week,0.4,No,Health,Yes,Yes,Switched to cycling over driving/public transport,Monitored your carbon footprint,Reduced your flying (intentionally rather than due to Covid),Switched to renewable energy for home heating,Divested from fossil fuel investments,Reduced your single use packaging,Reduced your food waste,,Not listed,Yes
12132404112,395745032,11/02/2020 22:46,11/02/2020 23:02,185.22.224.96,26-30,Female,Europe,No,No,0,Yes,1,1-3 days a week,0.4,No,Environmental/Climate Change,Yes,Yes,Switched to cycling over driving/public transport,,,Switched to renewable energy for home heating,Divested from fossil fuel investments,Reduced your single use packaging,Reduced your food waste,,,Yes
12132365187,395745032,11/02/2020 22:46,11/02/2020 22:48,94.195.175.206,45+,Male,North America,No,No,0,Yes,1,4-6 days a week,0.8,No,Health,No,Yes,,,,,,Reduced your single use packaging,Reduced your food waste,,,No
12132329602,395745032,11/02/2020 22:34,11/02/2020 22:36,73.158.153.12,45+,Male,North America,No,No,0,Yes,1,4-6 days a week,0.8,No,Not applicable,No,Yes,,,,Switched to renewable energy for home heating,,,,,,No
12132329489,395745032,11/02/2020 22:34,11/02/2020 22:36,107.77.225.214,45+,Male,North America,No,No,0,Yes,1,1-3 days a week,0.4,No,Taste/Texture,Yes,Yes,Switched to cycling over driving/public transport,,Reduced your flying (intentionally rather than due to Covid),Switched to renewable energy for home heating,,,,,,No
12132321255,395745032,11/02/2020 22:31,11/02/2020 22:33,81.106.60.111,45+,Female,Europe,No,No,0,No,0,None,0,No,Animal Welfare,No,Yes,Switched to cycling over driving/public transport,,Reduced your flying (intentionally rather than due to Covid),,,Reduced your single use packaging,Reduced your food waste,,,No
12132317120,395745032,11/02/2020 22:29,11/02/2020 22:31,188.167.253.102,31-35,Female,Europe,No,No,0,Yes,1,1-3 days a week,0.4,No,Taste/Texture,No,Yes,,,,,,Reduced your single use packaging,Reduced your food waste,,,No
12132315097,395745032,11/02/2020 22:29,11/02/2020 22:30,86.252.87.160,45+,Male,Europe,No,No,0,Yes,1,4-6 days a week,0.8,No,Health,Yes,Yes,Switched to cycling over driving/public transport,,,,,,Reduced your food waste,,Not listed,No
12132310786,395745032,11/02/2020 22:28,11/02/2020 22:29,198.29.50.226,45+,Male,North America,No,No,0,Yes,1,A few times a month,0.15,No,Not applicable,No,Yes,,,,,,,,,Not listed,No
12132307976,395745032,11/02/2020 22:27,11/02/2020 22:28,5.68.126.206,41-45,Female,North America,No,No,0,Yes,1,1-3 days a week,0.4,No,Not applicable,No,Yes,,,,,,Reduced your single use packaging,Reduced your food waste,,,No
12132306228,395745032,11/02/2020 22:25,11/02/2020 22:27,86.22.108.183,36-40,Female,North America,No,No,0,Yes,1,1-3 days a week,0.4,Yes,Not applicable,Yes,Yes,,,,Switched to renewable energy for home heating,,Reduced your single use packaging,,Grown/caught your own food,,Yes
12132295969,395745032,11/02/2020 22:23,11/02/2020 22:24,67.240.179.200,41-45,Male,North America,No,No,0,Yes,1,7 days a week,1,No,Not applicable,Yes,Yes,Switched to cycling over driving/public transport,Monitored your carbon footprint,Reduced your flying (intentionally rather than due to Covid),Switched to renewable energy for home heating,Divested from fossil fuel investments,Reduced your single use packaging,Reduced your food waste,Grown/caught your own food,,Yes
12132295800,395745032,11/02/2020 22:22,11/02/2020 22:24,90.212.49.253,45+,Male,Europe,No,No,0,Yes,1,4-6 days a week,0.8,No,Health,Yes,Yes,Switched to cycling over driving/public transport,,,,,Reduced your single use packaging,,,,No
12132294353,395745032,11/02/2020 22:22,11/02/2020 22:23,90.252.99.115,31-35,Male,Asia,No,No,0,Yes,1,1-3 days a week,0.4,No,Not applicable,No,Yes,,,,Switched to renewable energy for home heating,,,Reduced your food waste,,,No
12132289773,395745032,11/02/2020 22:20,11/02/2020 22:21,85.211.161.244,31-35,Female,Europe,Yes,Yes,1,Yes,1,A few times a month,0.15,No,Animal Welfare,Yes,Yes,Switched to cycling over driving/public transport,,Reduced your flying (intentionally rather than due to Covid),Switched to renewable energy for home heating,Divested from fossil fuel investments,Reduced your single use packaging,Reduced your food waste,,,Yes
12132288152,395745032,11/02/2020 22:19,11/02/2020 22:21,50.236.8.1,41-45,Male,North America,No,No,0,Yes,1,4-6 days a week,0.8,No,Not applicable,No,Yes,Switched to cycling over driving/public transport,Monitored your carbon footprint,,,,Reduced your single use packaging,Reduced your food waste,,,No
12132286663,395745032,11/02/2020 22:19,11/02/2020 22:20,213.205.240.8,41-45,Female,Asia,No,No,0,Yes,1,1-3 days a week,0.4,No,Environmental/Climate Change,Yes,Yes,Switched to cycling over driving/public transport,,,,,Reduced your single use packaging,,,,Yes
12132282383,395745032,11/02/2020 22:18,11/02/2020 22:19,73.170.239.114,45+,Female,North America,No,No,0,Yes,1,4-6 days a week,0.8,Yes,Health,Yes,Yes,,,,Switched to renewable energy for home heating,,Reduced your single use packaging,Reduced your food waste,Grown/caught your own food,,Yes
12132270295,395745032,11/02/2020 22:13,11/02/2020 22:14,90.202.56.154,45+,Male,North America,No,No,0,Yes,1,4-6 days a week,0.8,No,Not applicable,No,Yes,,Monitored your carbon footprint,,Switched to renewable energy for home heating,,,Reduced your food waste,,,No
12132266274,395745032,11/02/2020 22:11,11/02/2020 22:13,86.21.79.103,41-45,Female,North America,No,Yes,1,No,0,A few times a month,0.15,No,None of the above,No,Yes,,,,,,Reduced your single use packaging,Reduced your food waste,,,No
12132258794,395745032,11/02/2020 22:08,11/02/2020 22:10,125.209.155.28,31-35,Male,Oceania,No,No,0,Yes,1,7 days a week,1,No,Health,Yes,Yes,,,,,,Reduced your single use packaging,,,,No
12132258597,395745032,11/02/2020 22:09,11/02/2020 22:10,86.27.119.44,41-45,Male,Europe,No,No,0,Yes,1,4-6 days a week,0.8,No,Environmental/Climate Change,Yes,Yes,,,,,,Reduced your single use packaging,Reduced your food waste,,Not listed,No
12132254072,395745032,11/02/2020 22:07,11/02/2020 22:09,82.132.232.48,31-35,Female,North America,No,No,0,Yes,1,1-3 days a week,0.4,No,Animal Welfare,No,No,,,,,,Reduced your single use packaging,,,,No
12132247229,395745032,11/02/2020 22:05,11/02/2020 22:06,51.6.237.6,26-30,Female,Asia,No,No,0,Yes,1,A few times a month,0.15,No,Environmental/Climate Change,Yes,Yes,Switched to cycling over driving/public transport,,,,,Reduced your single use packaging,Reduced your food waste,,,Yes
12132245890,395745032,11/02/2020 22:05,11/02/2020 22:06,86.128.14.124,31-35,Male,Asia,No,No,0,Yes,1,1-3 days a week,0.4,No,Environmental/Climate Change,Yes,No,,,,Switched to renewable energy for home heating,,Reduced your single use packaging,Reduced your food waste,,,Yes
12132230982,395745032,11/02/2020 21:59,11/02/2020 22:01,148.252.129.135,31-35,Female,Europe,No,No,0,Yes,1,1-3 days a week,0.4,No,Health,Yes,No,,,,,,Reduced your single use packaging,Reduced your food waste,,,No
12132190741,395745032,11/02/2020 21:45,11/02/2020 21:47,103.217.166.6,31-35,Male,Oceania,No,No,0,Yes,1,7 days a week,1,No,Not applicable,No,Yes,,,,,,Reduced your single use packaging,Reduced your food waste,,,No
12132176470,395745032,11/02/2020 21:41,11/02/2020 21:42,60.227.188.117,31-35,Male,Europe,No,No,0,Yes,1,7 days a week,1,No,Not applicable,No,No,,,,,,Reduced your single use packaging,,,,No
12132155450,395745032,11/02/2020 21:32,11/02/2020 21:35,5.70.130.252,45+,Male,Africa,No,No,0,Yes,1,4-6 days a week,0.8,No,Health,Yes,Yes,,,,,,Reduced your single use packaging,Reduced your food waste,,,Yes
12132151553,395745032,11/02/2020 21:32,11/02/2020 21:33,86.137.83.28,45+,Female,Europe,No,No,0,Yes,1,Once a month,0,Yes,Health,No,Yes,,Monitored your carbon footprint,Reduced your flying (intentionally rather than due to Covid),,,Reduced your single use packaging,Reduced your food waste,Grown/caught your own food,Not listed,No
12132127290,395745032,11/02/2020 21:21,11/02/2020 21:25,31.221.175.80,26-30,Male,Europe,No,No,0,No,0,1-3 days a week,0.4,No,Not applicable,No,No,Switched to cycling over driving/public transport,Monitored your carbon footprint,,,,,Reduced your food waste,,,Yes
12132120578,395745032,11/02/2020 21:19,11/02/2020 21:23,31.221.229.224,26-30,Male,Europe,Yes,No,0,Yes,1,1-3 days a week,0.4,No,Animal Welfare,No,Yes,Switched to cycling over driving/public transport,,Reduced your flying (intentionally rather than due to Covid),,,,,,,No
12132107001,395745032,11/02/2020 21:17,11/02/2020 21:18,31.4.191.125,26-30,Male,Europe,No,No,0,Yes,1,4-6 days a week,0.8,No,Not applicable,No,Yes,,,,,Divested from fossil fuel investments,Reduced your single use packaging,Reduced your food waste,,,No
12132083897,395745032,11/02/2020 21:09,11/02/2020 21:11,220.233.199.154,31-35,Male,Oceania,No,No,0,Yes,1,7 days a week,1,Yes,Not applicable,No,Yes,,,,,,Reduced your single use packaging,Reduced your food waste,,Not listed,No
12132053236,395745032,11/02/2020 21:00,11/02/2020 21:01,90.253.22.226,26-30,Male,Europe,No,No,0,Yes,1,7 days a week,1,No,Not applicable,Yes,No,Switched to cycling over driving/public transport,,,,,,Reduced your food waste,,,No
12132040950,395745032,11/02/2020 20:55,11/02/2020 20:56,195.143.10.203,31-35,Male,Europe,No,No,0,Yes,1,4-6 days a week,0.8,No,Not applicable,No,Yes,Switched to cycling over driving/public transport,,,,Divested from fossil fuel investments,Reduced your single use packaging,,,Not listed,No
12132034354,395745032,11/02/2020 20:53,11/02/2020 20:54,31.54.38.148,26-30,Female,Europe,No,No,0,Yes,1,4-6 days a week,0.8,No,Environmental/Climate Change,No,Yes,Switched to cycling over driving/public transport,,,,,Reduced your single use packaging,Reduced your food waste,Grown/caught your own food,,No
12132021499,395745032,11/02/2020 20:49,11/02/2020 20:50,84.71.249.132,26-30,Male,Europe,No,No,0,Yes,1,7 days a week,1,No,Not applicable,No,No,,,,,,,,,Not listed,No
12131984918,395745032,11/02/2020 20:36,11/02/2020 20:38,90.194.218.48,26-30,Female,Europe,No,No,0,Yes,1,4-6 days a week,0.8,No,Not applicable,Yes,Yes,Switched to cycling over driving/public transport,,,,,Reduced your single use packaging,Reduced your food waste,Grown/caught your own food,,No
12131964576,395745032,11/02/2020 20:30,11/02/2020 20:31,188.39.106.130,26-30,Female,Europe,No,No,0,Yes,1,4-6 days a week,0.8,No,Environmental/Climate Change,Yes,Yes,,,,,,Reduced your single use packaging,Reduced your food waste,,,No
12131957994,395745032,11/02/2020 20:27,11/02/2020 20:29,86.138.35.23,31-35,Female,Europe,No,No,0,Yes,1,1-3 days a week,0.4,No,Environmental/Climate Change,Yes,Yes,Switched to cycling over driving/public transport,,,,Divested from fossil fuel investments,Reduced your single use packaging,Reduced your food waste,Grown/caught your own food,,Yes
12131903341,395745032,11/02/2020 20:09,11/02/2020 20:11,178.251.12.129,45+,Female,Europe,No,Yes,1,No,0,None,0,No,Environmental/Climate Change,Yes,Yes,Switched to cycling over driving/public transport,,,Switched to renewable energy for home heating,,Reduced your single use packaging,Reduced your food waste,Grown/caught your own food,,Yes
12131896338,395745032,11/02/2020 20:07,11/02/2020 20:09,102.165.89.49,45+,Male,Europe,No,No,0,Yes,1,1-3 days a week,0.4,No,Environmental/Climate Change,Yes,Yes,Switched to cycling over driving/public transport,Monitored your carbon footprint,Reduced your flying (intentionally rather than due to Covid),Switched to renewable energy for home heating,,Reduced your single use packaging,Reduced your food waste,Grown/caught your own food,,Yes
12131880662,395745032,11/02/2020 20:02,11/02/2020 20:04,147.148.248.38,36-40,Male,Europe,No,No,0,Yes,1,A few times a month,0.15,No,Environmental/Climate Change,Yes,Yes,,Monitored your carbon footprint,,,Divested from fossil fuel investments,,Reduced your food waste,,Not listed,Yes
12131878065,395745032,11/02/2020 20:01,11/02/2020 20:03,86.9.144.6,21-25,Male,South America,Yes,Yes,1,No,0,None,0,No,Environmental/Climate Change,Yes,Yes,,,Reduced your flying (intentionally rather than due to Covid),Switched to renewable energy for home heating,Divested from fossil fuel investments,Reduced your single use packaging,Reduced your food waste,,,Yes
12131819924,395745032,11/02/2020 19:43,11/02/2020 19:45,194.34.132.219,45+,Male,Europe,No,No,0,Yes,1,4-6 days a week,0.8,No,Health,No,Yes,,,,,Divested from fossil fuel investments,Reduced your single use packaging,Reduced your food waste,Grown/caught your own food,Not listed,No
12131810959,395745032,11/02/2020 19:40,11/02/2020 19:42,5.70.130.252,45+,Female,Europe,No,No,0,Yes,1,A few times a month,0.15,No,Environmental/Climate Change,Yes,No,,,,,,,Reduced your food waste,,,Yes
